X Y Z
431643.8328326517 5304073.590541613 1057.9947836425783
431643.8207850363 5304073.613684868 1057.9947836425783
431643.8067661982 5304073.635690035 1057.9947836425783
431643.7908828292 5304073.656389644 1057.9947836425783
431643.7732558114 5304073.675626159 1057.9947836425783
431643.7540192971 5304073.693253177 1057.9947836425783
431643.7333196876 5304073.709136546 1057.9947836425783
431643.7113145196 5304073.723155384 1057.9947836425783
431643.6881712657 5304073.735203 1057.9947836425783
431643.6640660599 5304073.745187703 1057.9947836425783
431643.6391823576 5304073.753033504 1057.9947836425783
431643.6137095385 5304073.758680692 1057.9947836425783
431643.5878414664 5304073.762086288 1057.9947836425783
431643.5617750129 5304073.763224374 1057.9947836425783
431643.5357085593 5304073.762086288 1057.9947836425783
431643.5098404872 5304073.758680692 1057.9947836425783
431643.48436766816 5304073.753033504 1057.9947836425783
431643.4594839658 5304073.745187703 1057.9947836425783
431643.43537876 5304073.735203 1057.9947836425783
431643.4122355061 5304073.723155384 1057.9947836425783
431643.39023033815 5304073.709136546 1057.9947836425783
431643.3695307287 5304073.693253177 1057.9947836425783
431643.3502942143 5304073.675626159 1057.9947836425783
431643.3326671965 5304073.656389644 1057.9947836425783
431643.3167838276 5304073.635690035 1057.9947836425783
431643.30276498944 5304073.613684868 1057.9947836425783
431643.290717374 5304073.590541613 1057.9947836425783
431643.28073267086 5304073.566436407 1057.9947836425783
431643.2728868696 5304073.541552705 1057.9947836425783
431643.2672396816 5304073.516079886 1057.9947836425783
431643.2638340853 5304073.490211814 1057.9947836425783
431643.26269599935 5304073.4641453605 1057.9947836425783
431643.2638340853 5304073.438078907 1057.9947836425783
431643.2672396816 5304073.412210835 1057.9947836425783
431643.2728868696 5304073.386738016 1057.9947836425783
431643.28073267086 5304073.361854314 1057.9947836425783
431643.290717374 5304073.337749108 1057.9947836425783
431643.30276498944 5304073.3146058535 1057.9947836425783
431643.3167838276 5304073.292600686 1057.9947836425783
431643.3326671965 5304073.271901077 1057.9947836425783
431643.3502942143 5304073.252664562 1057.9947836425783
431643.3695307287 5304073.235037544 1057.9947836425783
431643.39023033815 5304073.219154175 1057.9947836425783
431643.4122355061 5304073.205135337 1057.9947836425783
431643.43537876 5304073.193087721 1057.9947836425783
431643.4594839658 5304073.183103018 1057.9947836425783
431643.48436766816 5304073.175257217 1057.9947836425783
431643.5098404872 5304073.169610029 1057.9947836425783
431643.5357085593 5304073.166204433 1057.9947836425783
431643.5617750129 5304073.165066347 1057.9947836425783
431643.5878414664 5304073.166204433 1057.9947836425783
431643.6137095385 5304073.169610029 1057.9947836425783
431643.6391823576 5304073.175257217 1057.9947836425783
431643.6640660599 5304073.183103018 1057.9947836425783
431643.6881712657 5304073.193087721 1057.9947836425783
431643.7113145196 5304073.205135337 1057.9947836425783
431643.7333196876 5304073.219154175 1057.9947836425783
431643.7540192971 5304073.235037544 1057.9947836425783
431643.7732558114 5304073.252664562 1057.9947836425783
431643.7908828292 5304073.271901077 1057.9947836425783
431643.8067661982 5304073.292600686 1057.9947836425783
431643.8207850363 5304073.3146058535 1057.9947836425783
431643.8328326517 5304073.337749108 1057.9947836425783
431643.8428173549 5304073.361854314 1057.9947836425783
431643.8506631561 5304073.386738016 1057.9947836425783
431643.8563103441 5304073.412210835 1057.9947836425783
431643.8597159404 5304073.438078907 1057.9947836425783
431570.7641634708 5303994.8853270905 1054.1887533691408
431570.763546908 5303994.8994487 1054.1887533691408
431570.761701912 5303994.913462836 1054.1887533691408
431570.7586425243 5303994.927262843 1054.1887533691408
431570.7543920287 5303994.940743692 1054.1887533691408
431570.74898277415 5303994.953802788 1054.1887533691408
431570.7424559282 5303994.966340742 1054.1887533691408
431570.7348611642 5303994.978262134 1054.1887533691408
431570.7262562828 5303994.989476234 1054.1887533691408
431570.71670677233 5303994.999897695 1054.1887533691408
431570.7062853104 5303995.009447206 1054.1887533691408
431570.6950712106 5303995.018052087 1054.1887533691408
431570.68314981903 5303995.025646851 1054.1887533691408
431570.6706118647 5303995.032173697 1054.1887533691408
431570.6575527689 5303995.037582952 1054.1887533691408
431570.6440719193 5303995.041833447 1054.1887533691408
431570.6302719133 5303995.044892835 1054.1887533691408
431570.6162577773 5303995.046737831 1054.1887533691408
431570.60213616735 5303995.047354394 1054.1887533691408
431570.5880145574 5303995.046737831 1054.1887533691408
431570.5740004214 5303995.044892835 1054.1887533691408
431570.5602004154 5303995.041833447 1054.1887533691408
431570.5467195658 5303995.037582952 1054.1887533691408
431570.5336604701 5303995.032173697 1054.1887533691408
431570.52112251567 5303995.025646851 1054.1887533691408
431570.5092011241 5303995.018052087 1054.1887533691408
431570.49798702425 5303995.009447206 1054.1887533691408
431570.4875655624 5303994.999897695 1054.1887533691408
431570.47801605193 5303994.989476234 1054.1887533691408
431570.4694111705 5303994.978262134 1054.1887533691408
431570.46181640646 5303994.966340742 1054.1887533691408
431570.4552895605 5303994.953802788 1054.1887533691408
431570.449880306 5303994.940743692 1054.1887533691408
