inv_index,x,y,predinstance,nn_dist_m,tile_name,note
182,416771.9686,5346631.138,2303,0.0024413106334960346,tile_119.laz,ok
183,416769.3659,5346629.067,2302,0.005080354624963302,tile_119.laz,ok
184,416777.1589,5346629.644,2449,0.006100000060720705,tile_119.laz,ok
185,416722.57,5346717.97,2710,0.0,tile_128.laz,ok
186,416723.3499,5346714.344,2711,0.004001249530736581,tile_128.laz,ok
187,416722.6513,5346713.425,2711,0.005166236433963741,tile_128.laz,ok
188,416722.572908964,5346712.20353488,2712,0.0045779301971295636,tile_128.laz,ok
189,416720.808,5346714.973,2714,0.003605551672733104,tile_128.laz,ok
190,416717.9939,5346713.092,2555,0.00438292155920175,tile_128.laz,ok
191,416717.2207,5346712.262,2552,0.008030566981523202,tile_128.laz,ok
192,416734.195,5346713.668,2874,0.005385164933209421,tile_128.laz,ok
193,416734.6257,5346719.149,3046,0.004414748076903559,tile_128.laz,ok
194,416733.31584027,5346723.19888513,3045,0.004306540329921809,tile_128.laz,ok
195,416732.619477378,5346725.21219705,3044,0.0022583544081948813,tile_128.laz,ok
196,416730.259656429,5346727.9787824,3043,0.001265145432250647,tile_128.laz,ok
197,416738.060509413,5346725.30780086,3218,0.002257370156084673,tile_128.laz,ok
198,416739.886697624,5346725.99565795,3218,0.0054551890988814725,tile_128.laz,ok
199,416738.4272,5346723.247,-1,0.004103656595687424,tile_128.laz,ok
200,416743.4253,5346722.007,3047,0.005575840499182523,tile_128.laz,ok
201,416740.0312,5346716.594,3048,0.004176122339170932,tile_128.laz,ok
202,416743.9773,5346717.207,3051,0.004036086856355224,tile_128.laz,ok
203,416745.1303,5346718.025,3051,0.005008991803842612,tile_128.laz,ok
204,416747.2263,5346716.816,3223,0.005448853572402117,tile_128.laz,ok
205,416745.172,5346714.782,3052,0.0028284267240218934,tile_128.laz,ok
206,416744.64379657,5346711.38451652,3050,0.005900245889198928,tile_128.laz,ok
207,416748.861,5346720.54,3220,0.0009999999892897904,tile_128.laz,ok
208,416748.7209,5346720.22,3220,0.0008999999845400453,tile_128.laz,ok
209,416749.4765,5346717.345,-1,0.006103277711503844,tile_128.laz,ok
210,416747.569969154,5346704.64158048,2880,0.0015807814655897571,tile_128.laz,ok
211,416739.4636,5346706.834,2877,0.005381449411494703,tile_128.laz,ok
212,416762.702341668,5346752.74036259,3918,0.007666910757432978,tile_129.laz,ok
213,416761.931,5346751.534,3764,0.004123105355579432,tile_129.laz,ok
214,416766.393617669,5346752.62880754,3927,0.0038091323662283343,tile_130.laz,ok
215,416761.782673965,5346748.23251959,3768,0.003674019807583312,tile_129.laz,ok
216,416766.976118174,5346751.41925722,3927,0.003952251933456244,tile_130.laz,ok
217,416766.766956342,5346748.38758636,3932,0.003884522023871765,tile_130.laz,ok
218,416768.7164,5346747.965,3933,0.0061611686614924405,tile_130.laz,ok
219,416769.008561006,5346748.66228475,3933,0.002700145117858701,tile_130.laz,ok
220,416770.193675393,5346747.5573393,3931,0.004537382379626924,tile_130.laz,ok
221,416774.700794075,5346751.16118068,4113,0.0014228700636496582,tile_130.laz,ok
222,416776.0993,5346746.996,3937,0.004060787835035921,tile_130.laz,ok
223,416773.569270089,5346745.97995015,4111,0.0007316113881873389,tile_131.laz,ok
224,416774.9529,5346743.898,3937,0.0035227831465186902,tile_131.laz,ok
225,416778.6524,5346746.54,4116,0.0023999999975785613,tile_131.laz,ok
226,416778.830974767,5346744.13253702,4116,0.0027178380321807804,tile_131.laz,ok
227,416783.351,5346747.389,4120,0.0014142130121592598,tile_130.laz,ok
228,416781.7332,5346740.591,3940,0.003352611005696205,tile_131.laz,ok
229,416780.7681,5346739.877,3940,0.007253275339229737,tile_131.laz,ok
230,416777.7705,5346740.433,3940,0.0070178346368717495,tile_131.laz,ok
231,416775.4024,5346739.872,3934,0.003124100078371272,tile_131.laz,ok
232,416773.2462,5346738.235,3936,0.006280127301815199,tile_131.laz,ok
