name,species,plot_id,dbh_cm,inv_height_m,pc_height_m,crown_area,n_points,ground_pct,z_p05,z_p50,z_p95,flag_ground,flag_dbh,flag_height,flag_crown,flag_height_mismatch
11_73,Beech,11.0,15.9,26.34350026,26.84,64.21,223623,0.004,5.759999999999991,18.940000000000055,24.90000000000009,False,False,False,False,False
11_74,Beech,11.0,41.4,27.99087917,30.26,69.91,392681,0.002,11.449999999999932,21.839999999999918,26.360000000000014,False,False,False,False,False
11_75,Beech,11.0,7.6,25.58993815,24.62,39.07,56820,0.0,6.029500000000089,11.240000000000009,21.590000000000032,False,False,False,False,False
11_76,Beech,11.0,27.1,26.15015388,5.83,1.36,4091,0.014,0.6900000000000546,3.409999999999968,5.009999999999991,False,False,False,False,True
11_77,Beech,11.0,13.4,,26.1,27.14,73806,0.003,3.300000000000068,14.910000000000082,21.867500000000007,False,False,False,False,False
11_78,Oak,11.0,43.6,26.43859791,8.98,1.32,11930,0.068,0.37000000000000455,4.5750000000000455,8.410000000000082,False,False,False,False,True
11_79,Beech,11.0,9.9,25.69234192,19.78,54.69,119831,0.002,3.490000000000009,13.360000000000014,18.279999999999973,False,False,False,False,True
11_8,Beech,11.0,24.5,,2.74,0.07,1339,0.317,0.05999999999994543,0.7999999999999545,1.8809999999999936,True,False,False,False,False
11_80,Beech,11.0,29.0,,26.87,40.71,140143,0.003,7.530999999999976,19.069999999999936,24.629999999999995,False,False,False,False,False
11_81,Beech,11.0,15.9,,19.63,31.21,52149,0.003,4.040000000000077,12.1400000000001,17.730000000000018,False,False,False,False,False
